arquivo,processo_numero,vara,comarca,magistrado_nome,magistrado_genero,magistrado_cargo,assinatura_datahora,assinatura_id_documento,decisao
00000101420058100067_000_07-11-2024_00-18-37_Sentença.html,,VARA ÚNICA,ANAJATUBA,GEOVANE DA SILVA SANTOS,Masculino,Juiz de Direito,07/11/2024 00:18:37,134000511,PROCEDENTE
00000129520168100067_000_08-02-2025_00-18-34_Sentença.html,,VARA ÚNICA,ANAJATUBA,GEOVANE DA SILVA SANTOS,Masculino,Juiz de Direito,08/02/2025 00:18:34,140547959,IMPROCEDENTE
00000172020168100067_000_10-02-2025_21-23-45_Sentença.html,,VARA ÚNICA,ANAJATUBA,GEOVANE DA SILVA SANTOS,Masculino,Juiz de Direito,10/02/2025 21:23:45,140871801,IMPROCEDENTE
00000478420188100067_003_10-02-2025_21-48-21_Sentença.html,,VARA ÚNICA,ANAJATUBA,GEOVANE DA SILVA SANTOS,Masculino,Juiz de Direito,10/02/2025 21:48:20,140873937,IMPROCEDENTE
00000564620188100067_000_10-02-2025_19-52-37_Sentença.html,,VARA ÚNICA,ANAJATUBA,GEOVANE DA SILVA SANTOS,Masculino,Juiz de Direito,10/02/2025 19:52:37,140550035,IMPROCEDENTE
00000649020038100053_001_10-05-2025_09-42-04_Sentença.html,0000064-90.2003.8.10.0053,1ª VARA,PORTO FRANCO,BRUNO BARBOSA PINHEIRO,Masculino,Juiz,10/05/2025 09:42:04,148228960,EXTINTO SEM RESOLUÇÃO DE MÉRITO
00000656020128100053_000_22-08-2025_17-36-45_Sentença.html,,,,FERDINANDO MARCO GOMES SEREJO SOUSA,Masculino,Juiz de Direito,22/08/2025 17:36:45,156205605,EXTINTO
00000847120138100040_000_24-04-2024_16-18-45_Sentença.html,,,IMPERATRIZ,THIAGO HENRIQUE OLIVEIRA DE AVILA,Masculino,Juiz de Direito,24/04/2024 16:18:45,116905718,EXTINTO SEM RESOLUÇÃO DE MÉRITO
00000974920118100102_000_13-10-2025_09-52-09_Sentença.html,0000097-49.2011.8.10.0102,VARA ÚNICA,MONTES ALTOS,BRUNA ATHAYDE BARROS,Indeterminado,,13/10/2025 09:52:09,162718738,PROCEDENTE
00000983420118100102_000_22-05-2025_19-44-34_Sentença.html,,VARA ÚNICA,MONTES ALTOS,MOISES SOUZA DE SA COSTA,Masculino,Juiz,22/05/2025 19:44:34,149469698,EXTINTO
00001234720118100102_000_17-10-2024_11-56-33_sentença.html,,VARA ÚNICA,MONTES ALTOS-MA,MYLLENNE SANDRA CAVALCANTE CALHEIROS DE MELO MOREIRA,Feminino,Juíza de Direito,17/10/2024 11:56:32,129848051,
00001376820138100067_000_28-06-2025_10-16-47_Sentença.html,,VARA ÚNICA,ANAJATUBA,GEOVANE DA SILVA SANTOS,Masculino,Juiz de Direito,28/06/2025 10:16:47,152705906,PROCEDENTE
"00001376820138100067_001_26-06-2025_20-13-20_Ata de audiência com despacho, decisão ou sentença.html",,,ANAJATUBA,GEOVANE DA SILVA SANTOS,Masculino,Juiz,26/06/2025 20:13:20,152639293,
00001485520158100026_000_10-05-2024_18-00-36_Sentença.html,,1ª VARA,BALSAS,HANIEL SOSTENIS RODRIGUES DA SILVA,Indeterminado,,10/05/2024 18:00:36,119007852,
00001485520158100026_003_09-11-2022_10-11-56_Ata de audiência no CEJUSC.html,,,BALSAS,ANTONIO DE PAULA RIBEIRO,Indeterminado,,09/11/2022 10:11:56,80098014,
00001573220038100060_000_01-02-2024_19-38-57_Sentença.html,0000157-32.2003.8.10.0060,2ª VARA,,SUSI PONTE DE ALMEIDA,Feminino,Juíza,01/02/2024 19:38:57,111102381,PROCEDENTE
00001684320078100053_000_29-06-2025_20-53-24_Sentença.html,,1ª VARA,PORTO FRANCO,DAYNA LEÃO TAJRA REIS TEIXEIRA,Feminino,Juíza de Direito,29/06/2025 20:53:23,152851029,DEFIRO
00001895720128100113_000_30-01-2024_16-26-41_Sentença.html,,VARA ÚNICA,,RAFAELLA DE OLIVEIRA SAIF RODRIGUES,Feminino,Juíza,30/01/2024 16:26:41,110821597,PROCEDENTE
00002042020158100081_000_03-04-2024_17-42-00_Sentença.html,,Vara Única,Carolina,MAZURKIEVICZ SARAIVA DE SOUSA CRUZ,Masculino,Juiz,03/04/2024 17:42:00,115946983,PROCEDENTE
00002042020158100081_004_17-12-2020_11-58-39_Sentença.html,,Vara Única,Carolina,MAZURKIEVICZ SARAIVA DE SOUSA CRUZ,Masculino,Juiz,17/12/2020 11:58:39,39366568,HOMOLOGO
00002274820148100065_008_01-10-2024_09-41-39_Despacho.html,.,,,DOUGLAS LIMA DA GUIA,Indeterminado,,01/10/2024 09:41:39,114605409,IMPROCEDENTE
"00002274820148100065_011_21-03-2022_11-36-16_Ata de audiência com despacho, decisão ou sentença.html",,VARA ÚNICA,,CARLOS JEAN SARAIVA SALDANHA,Masculino,Juiz de Direito,21/03/2022 11:36:16,63096363,DEFIRO
00002285420128100113_001_29-05-2024_11-27-05_Sentença.html,,VARA ÚNICA,,RAFAELLA DE OLIVEIRA SAIF RODRIGUES,Feminino,Juíza,29/05/2024 11:27:04,120399852,EXTINTO SEM RESOLUÇÃO DE MÉRITO
00002373620118100053_001_20-02-2024_11-47-42_Sentença.html,,VARA ÚNICA,MONTES ALTOS - MA,GLENDER MALHEIROS GUIMARAES,Masculino,Juiz de Direito,20/02/2024 11:47:42,112124522,PROCEDENTE
"00002373620118100053_002_27-04-2023_12-18-47_Ata de audiência com despacho, decisão ou sentença.html",0000237-36.2011.8.10.0053,,Montes Altos,MYLLENNE SANDRA CAVALCANTE CALHEIROS DE MELO MOREIRA,Feminino,Juíza,27/04/2023 12:18:47,89988662,
"00002373620118100053_003_04-08-2022_13-13-28_Ata de audiência com despacho, decisão ou sentença.html",0000237-36.2011.8.10.0053,,Montes Altos,MYLLENNE SANDRA CAVALCANTE CALHEIROS DE MELO MOREIRA,Feminino,Juíza,04/08/2022 13:13:28,72974508,
00002432520168100067_003_11-09-2024_11-25-01_Sentença.html,,,,DEBORA JANSEN CASTRO TROVAO,Feminino,Juíza de Direito,11/09/2024 11:25:01,128579993,PROCEDENTE
"00002432520168100067_004_07-05-2024_17-15-58_Ata de audiência com despacho, decisão ou sentença.html",0000243.25.2016.8.10.0067.,,,GEOVANE DA SILVA SANTOS,Masculino,Juiz,07/05/2024 17:15:58,118682664,
00002495920148100113_000_31-10-2024_12-59-04_Sentença.html,,VARA ÚNICA,,RAFAELLA DE OLIVEIRA SAIF RODRIGUES,Feminino,Juíza,31/10/2024 12:59:04,133303646,PROCEDENTE
00002495920148100113_001_19-09-2024_10-34-28_Ata da Audiência.html,,VARA ÚNICA,,RAFAELLA DE OLIVEIRA SAIF RODRIGUES,Feminino,JUÍZA DE DIREITO,19/09/2024 10:34:27,129684544,DEFIRO
00002674620158100113_000_28-04-2025_10-01-27_Sentença.html,,VARA ÚNICA,,RAPHAEL LEITE GUEDES,Masculino,Juiz de Direito,28/04/2025 10:01:27,147143956,
"00002759320178100067_001_24-06-2025_10-11-31_Ata de audiência com despacho, decisão ou sentença.html",,,ANAJATUBA,GEOVANE DA SILVA SANTOS,Masculino,Juiz,24/06/2025 10:11:31,152012544,PROCEDENTE
00002830720168100067_000_28-06-2024_22-44-59_Sentença.html,,VARA ÚNICA,ANAJATUBA,GEOVANE DA SILVA SANTOS,Masculino,Juiz de Direito,28/06/2024 22:44:59,122331955,EXTINTO
"00002830720168100067_001_07-05-2024_17-09-03_Ata de audiência com despacho, decisão ou sentença.html",0000283.07.2016.8.10.0067.,,,GEOVANE DA SILVA SANTOS,Masculino,Juiz,07/05/2024 17:09:03,118682629,
00002831220138100067_000_10-06-2025_16-45-19_Sentença.html,,VARA ÚNICA,ANAJATUBA,GEOVANE DA SILVA SANTOS,Masculino,Juiz de Direito,10/06/2025 16:45:19,151123557,PROCEDENTE
00002848620058100128_000_26-09-2024_16-48-33_Sentença.html,0000284-86.2005.8.10.0128,1ª VARA,SÃO MATEUS DO MARANHÃO,AURIMAR DE ANDRADE ARRAIS SOBRINHO,Masculino,Juiz de Direito,26/09/2024 16:48:33,130448591,DEFIRO
00002891120058100128_000_12-08-2024_08-44-34_Sentença.html,0000289-11.2005.8.10.0128,1ª VARA,SÃO MATEUS DO MARANHÃO,AURIMAR DE ANDRADE ARRAIS SOBRINHO,Masculino,Juiz de Direito,12/08/2024 08:44:34,126319340,EXTINTO
00002934820058100128_000_11-07-2024_12-48-33_Sentença.html,0000293-48.2005.8.10.0128,1ª VARA,SÃO MATEUS DO MARANHÃO,AURIMAR DE ANDRADE ARRAIS SOBRINHO,Masculino,Juiz de Direito,11/07/2024 12:48:33,123973610,DEFIRO
00003004020058100128_000_26-04-2024_09-13-09_Despacho.html,0000300-40.2005.8.10.0128,1ª VARA,SÃO MATEUS DO MARANHÃO,AURIMAR DE ANDRADE ARRAIS SOBRINHO,Masculino,Juiz de Direito,26/04/2024 09:13:09,117795568,EXTINTO
