processo,sucesso,erro,total_baixados
0000010-14.2005.8.10.0067,True,,1
0000012-95.2016.8.10.0067,True,,1
0000017-20.2016.8.10.0067,True,,1
0000047-84.2018.8.10.0067,True,,1
0000056-46.2018.8.10.0067,True,,1
0000064-90.2003.8.10.0053,True,,1
0000065-60.2012.8.10.0053,True,,1
0000084-71.2013.8.10.0040,True,,1
0000097-49.2011.8.10.0102,True,,1
0000098-34.2011.8.10.0102,True,,1
0000123-47.2011.8.10.0102,True,,1
0000137-68.2013.8.10.0067,True,,2
0000148-55.2015.8.10.0026,True,,2
0000157-32.2003.8.10.0060,True,,1
0000168-43.2007.8.10.0053,True,,1
0000189-57.2012.8.10.0113,True,,1
0000204-20.2015.8.10.0081,True,,2
0000213-26.2009.8.10.0102,True,,0
0000227-48.2014.8.10.0065,True,,2
0000228-54.2012.8.10.0113,True,,1
0000237-36.2011.8.10.0053,True,,3
0000243-25.2016.8.10.0067,True,,2
0000249-59.2014.8.10.0113,True,,2
0000267-46.2015.8.10.0113,True,,1
0000275-93.2017.8.10.0067,True,,1
0000283-07.2016.8.10.0067,True,,2
0000283-12.2013.8.10.0067,True,,1
0000284-86.2005.8.10.0128,True,,1
0000289-11.2005.8.10.0128,True,,1
0000293-48.2005.8.10.0128,True,,1
0000300-40.2005.8.10.0128,True,,1
0000303-92.2005.8.10.0128,True,,1
0000308-17.2005.8.10.0128,True,,1
0000310-84.2005.8.10.0128,True,,1
0000317-28.2004.8.10.0026,True,,1
0000326-38.2005.8.10.0128,True,,1
0000338-21.2017.8.10.0067,True,,2
0000380-30.2008.8.10.0053,True,,1
0000393-96.2011.8.10.0029,True,,1
0000396-51.2015.8.10.0113,True,,2
0000397-36.2015.8.10.0113,True,,2
0000411-50.2008.8.10.0053,True,,1
0000447-28.2012.8.10.0029,True,,1
0000455-98.2010.8.10.0053,True,,1
0000517-10.2017.8.10.0081,True,,1
0000543-55.2014.8.10.0067,True,,1
0000581-25.2014.8.10.0081,True,,1
0000590-29.2014.8.10.0067,True,,1
0000594-27.2018.8.10.0067,True,,3
0000629-55.2016.8.10.0067,True,,1
0000630-24.2012.8.10.0053,True,,2
0000646-34.2018.8.10.0128,True,,1
0000657-60.2009.8.10.0037,True,,1
0000709-90.2012.8.10.0024,True,,3
0000714-95.2016.8.10.0049,True,,3
0000736-33.2004.8.10.0128,True,,1
0000748-67.2015.8.10.0029,True,,1
0000766-21.2016.8.10.0040,True,,2
